Terminal;servicio; sem1 ; sem2 ; sem3 ; sem4 ; sem5 ; sem6 ; sem7 ; sem8 ; sem9 ; sem10 ; sem11 ; sem12 ; sem13 ; sem14 ; sem15 ; sem16 
PIE ANDINO;FULL;44;40;13;16;14;19;15;18;19;20;16;20;20;20;20;20
PIE ANDINO;EXTERNO/EXPRESS;0;30;227;181;180;148;265;284;207;253;259;315;228;253;207;164
PIE ANDINO;BARRIDO/MOPA;0;20;362;427;466;432;443;362;434;467;429;440;412;282;438;347
JUANITA;FULL;46;45;17;13;46;51;31;26;31;17;12;19;28;35;23;46
JUANITA;EXTERNO/EXPRESS;0;0;0;1;15;4;7;8;3;1;0;0;0;0;0;0
JUANITA;BARRIDO/MOPA;0;0;112;55;33;13;1;18;4;2;0;8;7;17;6;18
SANTA MARGARITA;FULL;0;0;2;5;9;3;4;5;7;3;1;6;2;3;3;0
SANTA MARGARITA;EXTERNO/EXPRESS;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
SANTA MARGARITA;BARRIDO/MOPA;0;0;0;13;23;37;33;31;40;34;15;46;37;30;16;0
EL RETIRO;FULL;12;19;9;9;12;7;21;22;12;8;7;3;0;0;0;0
EL RETIRO;EXTERNO/EXPRESS;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0
EL RETIRO;BARRIDO/MOPA;0;0;4;51;47;87;83;74;95;79;44;77;0;0;0;0
CONDELL;FULL;27;20;20;15;22;23;18;19;13;23;17;33;12;11;0;0
CONDELL;EXTERNO/EXPRESS;0;0;0;43;78;62;78;0;1;67;289;19;129;139;0;0
CONDELL;BARRIDO/MOPA;0;0;56;162;140;99;129;116;44;142;74;125;87;52;0;0
A. LUCO;FULL;54;26;48;59;40;43;22;17;30;22;15;23;22;27;20;17
A. LUCO;EXTERNO/EXPRESS;0;0;0;0;0;0;0;0;8;5;0;2;1;2;0;0
A. LUCO;BARRIDO/MOPA;0;0;26;9;4;1;2;25;37;15;19;31;38;38;42;29
SANTA MARTA;FULL;33;34;21;33;26;38;21;22;12;9;8;2;0;0;0;0
SANTA MARTA;EXTERNO/EXPRESS;0;0;28;1;1;60;16;0;0;0;0;0;0;0;0;1
SANTA MARTA;BARRIDO/MOPA;0;0;68;94;139;200;233;166;89;93;108;247;347;491;440;387
